volume_1w,vw,open_1w,close_1w,high_1w,low_1w,t,transactions_1w,timestamp,sma20_1w,sma50_1w,sma100_1w,sma200_1w,close_over_sma20_1w,close_over_sma50_1w,close_over_sma100_1w,close_over_sma200_1w,rsi14_1w,macd_1w,macd_signal_1w,macd_hist_1w,bb_upper_1w,bb_lower_1w,prev_close_1w,tr_1w,atr14_1w,obv_1w,news_count,avg_sentiment,cash_amount,log_return_1w,ret_5_1w,vol_5_1w,avg_vol_20_1w,vol_ratio_1w,cum_vol_price_1w,cum_vol_1w,vwap_1w,stoch_k_1w,stoch_d_1w,dow_1w,month_1w,avg_sentiment_lag1_1w,sentiment_5d_ma_1w,close_lag1_1w,close_lag2_1w,close_lag3_1w,close_lag4_1w,close_lag5_1w,ema12_1w,ema26_1w,ema_diff_1w,ema_cross_1w,upper_atr_band_1w,lower_atr_band_1w,cmf20_1w,plus_di14_1w,minus_di14_1w,adx14_1w,cci20_1w,vpt_1w,roll_skew_10_1w,roll_kurt_10_1w,ret_10_1w,ret_20_1w,ret_50_1w,mom_vol_ratio_1w,vol_spike_1w,is_day_end_1w,is_week_end_1w,is_month_end_1w,is_quarter_end_1w,is_year_end_1w
257104290.0,440.9087,442.92,438.55,444.08,437.06,1688270400000,1766968,2023-07-02,,,,,0,0,0,0,,0.0,0.0,0.0,,,,7.019999999999982,,0.0,0.0,0.0,,,,,,,112753086379.5,257104290.0,438.55,,,6,7,,,,,,,,438.55,438.55,0.0,0,,,-0.5754985754985719,0.0,0.0,0.0,0.0,0.0,,,,,,,0,1,0,0,0,0
360474244.0,445.0832,438.18,449.28,451.36,437.585,1688875200000,2394232,2023-07-09,,,,,0,0,0,0,,0.855954415954443,0.1711908831908886,0.6847635327635544,,,438.55,13.775000000000034,,360474244.0,0.0,0.0,,0.0241724710000009,,,,,274706954723.82,617578534.0,444.81299073749864,,,6,7,0.0,,438.55,,,,,440.20076923076925,439.3448148148148,0.855954415954443,1,,,0.16783157508334604,35.00841546765656,0.0,49.999999985717714,66.66666645085874,8819720.98533803,,,,,,,0,1,0,0,0,0
340580117.0,453.1586,449.13,452.18,456.43,449.08,1689480000000,2416362,2023-07-16,,,,,0,0,0,0,,1.7481585376742146,0.4865844140875539,1.2615741235866609,,,449.28,7.350000000000023,,701054361.0,0.0,0.0,,0.0064340292507785,,,,,428710472028.88,958158651.0,447.4316143589043,,,6,7,0.0,,449.28,438.55,,,,442.0437278106509,440.2955692729767,1.7481585376742146,1,,,0.052560327592218535,43.87990760565648,0.0,66.66666664954865,99.9999997650744,11018088.015475137,,,,,,,0,1,0,0,0,0
351858172.0,455.2677,453.37,456.92,459.44,451.55,1690084800000,2467387,2023-07-23,,,,,0,0,0,0,,2.8053764844612488,0.9503428281622928,1.855033656298956,,,452.18,7.889999999999986,,1052912533.0,0.0,0.0,,0.0104279902175761,,,,,589481507979.12,1310016823.0,449.98010531588415,,,6,7,0.0,,452.18,449.28,438.55,,,444.3323850705508,441.52700858608955,2.8053764844612488,1,,,0.13546252826165092,42.62522546340358,0.0,74.99999998129643,86.79914293542296,14706459.317346059,1.3800324646377953,,,,,,0,1,0,0,0,0
375422186.0,452.1225,457.41,446.81,458.16,446.27,1690689600000,2628892,2023-07-30,,,,,0,0,0,0,,2.7952153147421654,1.3193173254782675,1.475897989263898,,,456.92,11.890000000000043,,677490347.0,0.0,0.0,,-0.0223748725424671,,,,,757223894905.78,1685439009.0,449.27398194910296,,,6,7,0.0,0.0,456.92,452.18,449.28,438.55,,444.7135565981584,441.9183412834162,2.7952153147421654,1,,,-0.09722298390879225,32.05007824057378,11.01721439519729,69.76744184323427,19.863654426419465,6399713.496502141,-1.0819835859291054,1.9896533476935367,,,,,0,1,0,0,0,0
370080260.0,447.319,448.71,445.65,451.7,443.345,1691294400000,2714190,2023-08-06,,,,,0,0,0,0,,2.6628643662186846,1.588026733626351,1.0748376325923337,,,446.81,8.354999999999961,,307410087.0,0.0,0.0,,-0.0025995577465529,0.0161897161099076,0.0172500404477798,,,922150162774.78,2055519269.0,448.62151218042413,,,6,8,0.0,0.0,446.81,456.92,452.18,449.28,438.55,444.8576248138263,442.1947604476076,2.6628643662186846,1,,,-0.160419894017455,27.29211086935109,14.578891255405278,63.20000590570902,-26.656440349420212,5438917.852716189,-0.5949872916145861,0.8317036945305816,,,,0.9385315224971603,0,1,0,0,0,0
396847146.0,440.4665,444.7,436.5,448.11,433.01,1691899200000,2733543,2023-08-13,,,,,0,0,0,0,,1.7989100405525278,1.6302033950115864,0.1687066455409414,,,445.65,15.100000000000025,,-89437059.0,0.0,0.0,,-0.0207455152970693,-0.0284455128205127,0.0151768965793789,,,1095373942003.78,2452366415.0,446.659983314027,,,6,8,0.0,0.0,445.65,446.81,456.92,452.18,449.28,443.57183638092994,441.7729263403774,1.7989100405525278,1,,,-0.22147998589909645,21.518632667201093,25.973662086582575,55.51150948653291,-110.41811856444532,-2709071.3448603516,-0.035001985387258044,-1.3312272663636442,,,,-1.8742628922261446,0,1,0,0,0,0
392874256.0,439.5003,437.55,439.97,445.22,435.0,1692504000000,2706188,2023-08-20,,,,,0,0,0,0,,1.378331465850522,1.5798290091793736,-0.2014975433288517,,,436.5,10.220000000000027,,303437197.0,0.0,0.0,,0.0079181674899824,-0.0270025211199079,0.0154866436851547,,,1268226828416.1,2845240671.0,445.7362223668635,,,6,8,0.0,0.0,436.5,445.65,446.81,456.92,452.18,443.0177077069407,441.6393762410902,1.378331465850522,1,,,-0.19468080957296002,18.8235294094579,22.720588232509737,49.74513717211546,-83.04736868950496,414121.4806150617,-0.3102326378377675,-0.9011792805018721,,,,-1.743599467572014,0,1,0,0,0,0
338755881.0,448.4571,442.24,451.19,453.67,439.9728,1693108800000,2389412,2023-08-27,,,,,0,0,0,0,,1.928153591473176,1.6494939256381342,0.278659665835042,,,439.97,13.699999999999989,,642193078.0,0.0,0.0,,0.0251819940480368,-0.012540488488138,0.020017164118957,,,1421070094364.49,3183996552.0,446.31646773356493,,,6,8,0.0,0.0,439.97,436.5,445.65,446.81,456.92,444.27498344433445,442.3468298528613,1.9281535914731762,1,,,-0.10610168913029677,24.984260228228287,19.454354667423477,45.60055745453004,23.860577456782202,9052985.45956814,-0.41424557077350477,-0.967536895073924,,,,-0.6264864567602324,0,1,0,0,0,0
257810185.0,446.4014,450.73,445.52,451.06,442.75,1693713600000,1880666,2023-09-03,,,,,0,0,0,0,,1.8846449595083072,1.696524132412169,0.1881208270961383,,,451.19,8.439999999999998,,384382893.0,0.0,0.0,,-0.012646397536263,-0.0028871332333654,0.0179737568631565,,,1535929687985.69,3441806737.0,446.25680793584024,,,6,9,0.0,0.0,451.19,439.97,436.5,445.65,446.81,444.4665244528984,442.5818794933901,1.8846449595083072,1,,,-0.12312258446415357,22.951609791502626,17.871602080405676,42.2848936804369,-2.1588821602044277,5813144.707445969,-0.09814326447731668,-1.2835563023453345,,,,-0.16063039291355144,0,1,0,0,0,0
