volume_4h,vw,open_4h,close_4h,high_4h,low_4h,t,transactions_4h,timestamp,sma20_4h,sma50_4h,sma100_4h,sma200_4h,close_over_sma20_4h,close_over_sma50_4h,close_over_sma100_4h,close_over_sma200_4h,rsi14_4h,macd_4h,macd_signal_4h,macd_hist_4h,bb_upper_4h,bb_lower_4h,prev_close_4h,tr_4h,atr14_4h,obv_4h,news_count,avg_sentiment,log_return_4h,ret_5_4h,vol_5_4h,avg_vol_20_4h,vol_ratio_4h,cum_vol_price_4h,cum_vol_4h,vwap_4h,stoch_k_4h,stoch_d_4h,dow_4h,month_4h,avg_sentiment_lag1_4h,sentiment_5d_ma_4h,close_lag1_4h,close_lag2_4h,close_lag3_4h,close_lag4_4h,close_lag5_4h,ema12_4h,ema26_4h,ema_diff_4h,ema_cross_4h,upper_atr_band_4h,lower_atr_band_4h,cmf20_4h,plus_di14_4h,minus_di14_4h,adx14_4h,cci20_4h,vpt_4h,roll_skew_10_4h,roll_kurt_10_4h,ret_10_4h,ret_20_4h,ret_50_4h,mom_vol_ratio_4h,vol_spike_4h,is_day_end_4h,is_week_end_4h,is_month_end_4h,is_quarter_end_4h,is_year_end_4h
9677.0,181.6503,181.28,181.68,181.83,181.28,1689580800000,39,2023-07-17 04:00:00,,,,,0,0,0,0,,0.0,0.0,0.0,,,,0.5500000000000114,,0.0,2.0,-0.075,,,,,,1758117.36,9677.0,181.68,,,0,7,,,,,,,,181.68,181.68,0.0,0,,,0.4545454545449754,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0
1998125.0,181.1141,181.63,181.48,181.85,180.64,1689595200000,16932,2023-07-17 08:00:00,,,,,0,0,0,0,,-0.0159544159544111,-0.0031908831908822,-0.0127635327635289,,,181.68,1.210000000000008,,-1998125.0,2.0,-0.075,-0.00110144300154,,,,,364377842.36,2007802.0,181.48096393967137,,,0,7,-0.075,,181.68,,,,,181.64923076923077,181.66518518518518,-0.01595441595441116,0,,,0.3887484098087026,0.0,36.36363615702523,49.99999998625,-66.66666178861824,-2199.6092029945376,,,,,,,0,0,0,0,0,0
1331890.0,181.4972,181.48,181.54,181.6307,181.27,1689609600000,14073,2023-07-17 12:00:00,,,,,0,0,0,0,,-0.023486173001828,-0.0072499411530714,-0.0162362318487566,,,181.48,0.36069999999998,,-666235.0,2.0,-0.075,0.0003305603027179,,,,,606169152.96,3339692.0,181.50450788875145,,,0,7,-0.075,,181.48,181.68,,,,181.63242603550296,181.6559122085048,-0.023486173001828092,0,,,0.4319553103782999,0.0,30.178714433071324,66.66666664645469,9.40574783469065,-1759.2664655029062,,,,,,,0,0,0,0,0,0
19297.0,181.5147,181.52,181.56,181.62,181.41,1689624000000,100,2023-07-17 16:00:00,,,,,0,0,0,0,,-0.027524031964873,-0.0113047593154317,-0.0162192726494413,,,181.54,0.2100000000000079,,-646938.0,2.0,-0.075,0.0001101624897837,,,,,609672716.2800001,3358989.0,181.50482668445775,,,0,7,-0.075,,181.54,181.48,181.68,,,181.62128356850252,181.6488076004674,-0.027524031964873075,0,,,0.43193587037202796,0.0,27.459561387310963,74.99999997573671,39.15539939614477,-1757.1405428412315,-1.5742090193348546,,,,,,0,1,0,0,0,0
30023.0,182.3241,182.1,182.33,183.0,182.06,1689667200000,226,2023-07-18 04:00:00,,,,,0,0,0,0,,0.0310505689269291,-0.0028336936669595,0.0338842625938887,,,181.56,1.4399999999999975,,-616915.0,1.0,0.16,0.0042320544628484,,,,,615146809.8700001,3389012.0,181.5121368322095,,,1,7,-0.075,-0.0279999999999999,181.56,181.54,181.48,181.68,,181.730316865656,181.69926629672906,0.031050568926929145,1,,,0.4243396283649092,36.59797905800504,16.972975795017277,67.3267326524888,166.6666613562466,-1629.812331781523,1.5423094970831464,2.8641109235261517,,,,,0,0,0,0,0,0
5150424.0,183.4488,182.23,183.64,184.23,182.0,1689681600000,41931,2023-07-18 08:00:00,,,,,0,0,0,0,,0.1810899221164845,0.0339510294897292,0.1471388926267552,,,182.33,2.2299999999999898,,4533509.0,1.0,0.16,0.0071590873299078,0.0107881990312637,0.0034448878600916,,,1560970673.23,8539436.0,182.7955234081033,,,1,7,0.16,0.019,182.33,181.56,181.54,181.48,181.68,182.0241142709397,181.8430243488232,0.18108992211648456,1,,,0.4523928308891215,43.49492551953097,10.665422349617096,66.20817464443932,144.47286861927108,35374.82453543612,0.8804085735547335,-0.9904528406743568,,,,3.1316455434695647,0,0,0,0,0,0
2778846.0,183.5703,183.645,183.63,183.9689,183.355,1689696000000,27555,2023-07-18 12:00:00,,,,,0,0,0,0,,0.2957806982950046,0.0863169632507843,0.2094637350442202,,,183.64,0.613900000000001,,1754663.0,1.0,0.16,-5.445584993304636e-05,0.011847035486004,0.0032227983336481,,,2071250164.21,11318282.0,183.00040272984893,,,1,7,0.16,0.066,183.64,182.33,181.56,181.54,181.48,182.27117361387204,181.97539291557703,0.29578069829500464,1,,,0.31576642092734164,39.45816823472576,9.67556615717441,65.40920463852612,120.31846217689389,35223.50423484826,1.2040651326619878,0.12385937529100961,,,,3.67599753367697,0,0,0,0,0,0
28822.0,183.6584,183.62,183.6,183.8,183.57,1689710400000,195,2023-07-18 16:00:00,,,,,0,0,0,0,,0.3798742614172568,0.1450284228840788,0.2348458385331779,,,183.63,0.2300000000000182,,1725841.0,1.0,0.16,-0.000163385344698,0.0113473614630383,0.0033068604637605,,,2076541883.41,11347104.0,183.00192572571825,,,1,7,0.16,0.113,183.63,183.64,182.33,181.56,181.54,182.4756084425071,182.09573418108985,0.3798742614172568,1,,,0.31308694983275465,38.132250185354216,9.350436827060307,64.80997713403758,95.93515588951446,35218.79552712077,1.4486471723499381,1.0196953520062337,,,,3.4314502449951827,0,1,0,0,0,0
12814.0,183.2191,183.58,183.2,183.67,183.14,1689753600000,41,2023-07-19 04:00:00,,,,,0,0,0,0,,0.4095216483487434,0.1979270679770117,0.2115945803717316,,,183.6,0.5300000000000011,,1713027.0,1.0,0.0,-0.0021810259463602,0.0090328266137915,0.0038005641055098,,,2078889408.21,11359918.0,183.00214915371748,,,2,7,0.16,0.128,183.6,183.63,183.64,182.33,181.56,182.587053297506,182.17753164915726,0.4095216483487434,1,,,0.3118611827844107,35.39175001302857,14.509261499594462,62.258627016763334,64.00582771435292,35190.87831579179,1.3880994525202055,1.3018961419815034,,,,2.37670056234303,0,0,0,0,0,0
2222631.0,183.4438,183.1586,183.2491,183.835,182.87,1689768000000,19968,2023-07-19 08:00:00,,,,,0,0,0,0,,0.4319995537981924,0.2447415651412479,0.1872579886569445,,,183.2,0.9650000000000034,,3935658.0,1.0,0.0,0.0002679771913415,0.0050408599791584,0.0035726154208965,,,2486184538.5921,13582549.0,183.04255987532977,,,2,7,0.0,0.096,183.2,183.6,183.63,183.64,182.33,182.68890663635122,182.25690708255303,0.43199955379819244,1,,,0.22576075292580242,31.29646502074839,16.067916907204285,59.24795418782586,56.69575099770395,35786.57254122845,1.5253802141130421,1.9489061550052016,,,,1.4109679536158783,0,0,0,0,0,0
