volume_1w,vw,open_1w,close_1w,high_1w,low_1w,t,transactions_1w,timestamp,sma20_1w,sma50_1w,sma100_1w,sma200_1w,close_over_sma20_1w,close_over_sma50_1w,close_over_sma100_1w,close_over_sma200_1w,rsi14_1w,macd_1w,macd_signal_1w,macd_hist_1w,bb_upper_1w,bb_lower_1w,prev_close_1w,tr_1w,atr14_1w,obv_1w,news_count,avg_sentiment,log_return_1w,ret_5_1w,vol_5_1w,avg_vol_20_1w,vol_ratio_1w,cum_vol_price_1w,cum_vol_1w,vwap_1w,stoch_k_1w,stoch_d_1w,dow_1w,month_1w,avg_sentiment_lag1_1w,sentiment_5d_ma_1w,close_lag1_1w,close_lag2_1w,close_lag3_1w,close_lag4_1w,close_lag5_1w,ema12_1w,ema26_1w,ema_diff_1w,ema_cross_1w,upper_atr_band_1w,lower_atr_band_1w,cmf20_1w,plus_di14_1w,minus_di14_1w,adx14_1w,cci20_1w,vpt_1w,roll_skew_10_1w,roll_kurt_10_1w,ret_10_1w,ret_20_1w,ret_50_1w,mom_vol_ratio_1w,vol_spike_1w,is_day_end_1w,is_week_end_1w,is_month_end_1w,is_quarter_end_1w,is_year_end_1w
25061098.0,182.8171,180.99,182.18,184.23,180.64,1689480000000,210718,2023-07-16,,,,,0,0,0,0,,0.0,0.0,0.0,,,,3.5900000000000034,,0.0,0.0,0.0,,,,,,4565630833.64,25061098.0,182.18,,,6,7,,,,,,,,182.18,182.18,0.0,0,,,-0.14206128133703672,0.0,0.0,0.0,0.0,0.0,,,,,,,0,1,0,0,0,0
26040556.0,181.8279,182.22,181.86,183.64,180.32,1690084800000,219346,2023-07-23,,,,,0,0,0,0,,-0.0255270655270862,-0.0051054131054172,-0.020421652421669,,,182.18,3.319999999999993,,-26040556.0,0.0,0.0,-0.0017580490188969,,,,,9301366347.8,51101654.0,182.01693330317647,,,6,7,0.0,,182.18,,,,,182.13076923076923,182.15629629629632,-0.02552706552708628,0,,,-0.10650656287794481,0.0,4.630969602560006,49.99999989203125,-66.66666341463431,-45740.35525304613,,,,,,,0,1,0,0,0,0
28100090.0,180.6073,182.43,180.19,183.09,179.28,1690689600000,225775,2023-07-30,,,,,0,0,0,0,,-0.1784553696804778,-0.0397754044204293,-0.1386799652600484,,,181.86,3.8100000000000023,,-54140646.0,0.0,0.0,-0.0092253105590439,,,,,14364721564.900002,79201744.0,181.36875325497888,,,6,7,0.0,,181.86,182.18,,,,181.8321893491124,182.0106447187929,-0.17845536968047782,0,,,-0.25402990393659963,0.0,12.686567152344482,66.66666656841299,-99.99999825806619,-303780.3327082328,,,,,,,0,1,0,0,0,0
26541577.0,178.4399,180.15,177.6,180.15,177.49,1691294400000,213183,2023-08-06,,,,,0,0,0,0,,-0.5028469997758123,-0.1323897234915059,-0.3704572762843063,,,180.19,2.6999999999999886,,-80682223.0,0.0,0.0,-0.0144780191806532,,,,,19078505640.1,105743321.0,180.4227960657676,,,6,8,0.0,,180.19,181.86,182.18,,,181.1810832954028,181.6839302951786,-0.5028469997758123,0,,,-0.4205090210602999,0.0,23.472429192643347,74.99999991565895,-131.4310982677464,-685281.4394844148,0.5127517900182458,,,,,,0,1,0,0,0,0
37887297.0,176.2559,176.86,175.33,177.58,174.93,1691899200000,247814,2023-08-13,,,,,0,0,0,0,,-0.9323521572604534,-0.2923822102452955,-0.6399699470151579,,,177.6,2.6699999999999875,,-118569520.0,1.0,-0.1083333333333333,-0.0128639180760325,,,,,25721285423.11,143630618.0,179.0794036903051,,,6,8,0.0,-0.0216666666666666,177.6,180.19,181.86,182.18,,180.2809166345716,181.21326879183206,-0.9323521572604534,0,,,-0.49373625079951394,0.0,35.487880649168424,79.99999992689143,-121.11002149698287,-1169539.1207344094,1.1993230151231988,0.918084720741053,,,,,0,1,0,0,0,0
29547311.0,177.0753,175.9,177.62,178.49,174.96,1692504000000,224008,2023-08-20,,,,,0,0,0,0,,-1.0755558885403218,-0.4490169459043007,-0.6265389426360211,,,175.33,3.530000000000001,,-89022209.0,0.0,0.0,0.012976524348321,-0.025030189922055,0.01121571051891,,,30969478802.93,173177929.0,178.83040282188617,,,6,8,-0.1083333333333333,-0.0216666666666666,175.33,177.6,180.19,181.86,182.18,179.87154484463753,180.94710073317785,-1.0755558885403218,0,,,-0.32297839036318543,4.638124360531015,29.10295615234297,78.75125874717641,-69.70284207332446,-783619.185811694,1.3394405750549214,1.321770055146877,,,,-2.2317059238283834,0,1,0,0,0,0
28677373.0,179.7259,177.65,180.11,181.12,177.51,1693108800000,224642,2023-08-27,,,,,0,0,0,0,,-0.9768630183061192,-0.5545861603846645,-0.4222768579214546,,,177.62,3.6100000000000136,,-60344836.0,0.0,0.0,0.013921338518608,-0.0096227867590453,0.0141747507193925,,,36134560453.96,201855302.0,179.0121938633051,,,6,8,0.0,-0.0216666666666666,177.62,175.33,177.6,180.19,181.86,179.90823025315484,180.88509327146096,-0.9768630183061191,0,,,-0.21451987643024809,15.23891518930737,24.580284104786713,70.8524302766609,4.573595572420611,-381599.93814814417,0.5244478149525439,-2.076336480456242,,,,-0.6788676683536787,0,1,0,0,0,0
19818970.0,178.3814,179.33,178.08,179.4438,177.7,1693713600000,160147,2023-09-03,,,,,0,0,0,0,,-1.050344524324288,-0.6537378331725892,-0.3966066911516988,,,180.11,2.410000000000025,,-80163806.0,0.0,0.0,-0.0113348878217314,-0.011709861812531,0.0144742717411774,,,39663922631.56,221674272.0,178.92885030681413,,,6,9,0.0,-0.0216666666666666,180.11,177.62,175.33,177.6,180.19,179.6269640603618,180.67730858468607,-1.050344524324288,0,,,-0.24578065049460782,13.806552256705674,22.269890786946128,64.92830892369787,-32.37387677742663,-604977.3691625253,0.8273546156506515,-1.357894809427983,,,,-0.8090115987737068,0,1,0,0,0,0
23765578.0,177.7401,178.97,178.34,179.105,176.36,1694318400000,197051,2023-09-10,,,,,0,0,0,0,,-1.0752050259131636,-0.738031271720704,-0.3371737541924595,,,178.08,2.744999999999976,,-56398228.0,0.0,0.0,0.0014589531794986,0.0041666666666666,0.0127947709554631,,,43902275812.079994,245439850.0,178.8718328017231,,,6,9,0.0,-0.0216666666666666,178.08,180.11,177.62,175.33,177.6,179.4289695895369,180.50417461545007,-1.0752050259131636,0,,,-0.17912354700258915,12.471375722222495,24.83706181968029,61.396771922375414,-45.52753593046073,-570279.1982281135,0.6293400712989395,-1.2945940935894371,,,,0.3256536146394536,0,1,0,0,0,0
29815047.0,179.1253,178.82,178.62,180.66,177.69,1694923200000,223349,2023-09-17,,,,,0,0,0,0,,-1.0600933958085932,-0.802443696538282,-0.2576496992703112,,,178.34,2.969999999999999,,-26583181.0,0.0,0.0,0.0015688035490066,0.0187646152968687,0.010321581269632,,,49227839507.21999,275254897.0,178.84455478813877,,,6,9,0.0,0.0,178.34,178.08,180.11,177.62,175.33,179.30451272960815,180.36460612541674,-1.0600933958085932,0,,,-0.2002037183426373,16.24940200406653,22.484452233300946,56.86681066220477,-6.298869797792781,-523468.5379163476,0.4721892044615123,-1.1759631273408475,,,,1.817996354116212,0,1,0,0,0,0
44130033.0,174.3779,178.41,171.45,178.71,171.265,1695528000000,315064,2023-09-24,,,,,0,0,0,0,,-1.6081387751191585,-0.9635827122544574,-0.6445560628647011,,,178.62,7.445000000000022,,-70713214.0,0.0,0.0,-0.0409689653468107,-0.0347370791577525,0.0209483733084926,,,56793933665.06999,319384930.0,177.82283486284086,,,6,9,0.0,0.0,178.62,178.34,178.08,180.11,177.62,178.09612615582228,179.70426493094143,-1.6081387751191585,0,,,-0.3038462773889063,13.131443295584672,34.729381434348,55.79951407351218,-170.70479413271613,-2294895.794718502,-0.9626318996983539,1.8085609555341418,-0.058897793391151754,,,-1.6582224339798997,0,1,0,0,0,0
51119119.0,169.35,170.23,169.7,170.46,168.3,1696132800000,333020,2023-10-01,,,,,0,0,0,0,,-2.1587938298482925,-1.2026249357732244,-0.956168894075068,,,171.45,3.1499999999999773,,-121832333.0,0.0,0.0,-0.0102595066687486,-0.057798012325801,0.017377322593365,,,65468848159.369995,370504049.0,176.70211253040853,,,6,10,0.0,0.0,171.45,178.62,178.34,178.08,180.11,176.80441443954192,178.9632082693902,-2.1587938298482925,0,,,-0.22104351255008214,12.145411200918854,39.189511313661484,55.53969464856795,-219.62446256535907,-2816671.5792037733,-0.7719000845188975,1.5593019909360126,-0.06686462113713854,,,-3.326057783337207,0,1,0,0,0,0
47789092.0,174.9236,171.18,178.83,179.095,171.075,1696737600000,328118,2023-10-08,,,,,0,0,0,0,,-1.837298002871421,-1.3295595491928638,-0.5077384536785572,,,169.7,9.39500000000001,,-74043241.0,0.0,0.0,0.0524034616597642,0.0042115902964958,0.0336559558850337,,,74014971481.73,418293141.0,176.94521909870377,,,6,10,0.0,0.0,169.7,171.45,178.62,178.34,178.08,177.1160429873047,178.95334099017612,-1.837298002871421,0,,,-0.08909196151497538,26.740675815222364,32.01869704313579,51.958366820125484,-38.373395111146536,-245579.00430689426,0.8006944198702594,2.198129767775156,-0.007547588656418136,,,0.12513651549571575,0,1,0,0,0,0
56692914.0,181.1721,177.84,183.59,185.23,177.535,1697342400000,438957,2023-10-15,,,,,0,0,0,0,,-1.1847608392528457,-1.3005998072048603,0.1158389679520146,,,178.83,7.694999999999993,4.217142857142856,-17350327.0,0.0,0.0,0.0262693765721693,0.0294381518447908,0.0355458326625622,,,84423223562.98999,474986055.0,177.7383202607706,90.3130537507384,,6,10,0.0,0.0,178.83,169.7,171.45,178.62,178.34,178.1120363738732,179.29679721312604,-1.1847608392528457,0,192.02428571428572,175.15571428571428,-0.00997722566681713,33.64668021110318,27.84552845056807,48.920909351732014,104.7198708212273,1263442.2485030317,0.3054341638665708,1.0224399946011167,0.03372747747747762,,,0.8281742572330637,0,1,0,0,0,0
47935018.0,183.8348,183.5099,186.15,186.36,181.68,1697947200000,361460,2023-10-22,,,,,0,0,0,0,55.01642658579732,-0.4557957014974931,-1.1316389860633869,0.6758432845658937,,,183.59,4.680000000000007,4.295,30584691.0,0.0,0.0,0.0138477898466117,0.042156533422909,0.0356043164211203,,,93346327163.69,522921073.0,178.50940033485702,98.83720930232556,,6,10,0.0,0.0,183.59,178.83,169.7,171.45,178.62,179.3486461625081,179.80444186400558,-0.45579570149749316,0,194.74,177.56,0.0743785560750007,34.916015294376194,27.340761678473086,49.790034883466724,148.61090084595344,1931853.633001103,-0.03215349169175388,1.3133949831024836,0.06171219985170806,,,1.1840283937488554,0,1,0,0,0,0
43745234.0,184.5192,185.54,184.79,186.21,182.67,1698552000000,373404,2023-10-29,,,,,0,0,0,0,53.60748584092585,0.0120350554504113,-0.9029041777606271,0.9149392332110386,,,186.15,3.5400000000000205,4.310714285714288,-13160543.0,0.0,0.0,-0.0073327551293917,0.0778069407990669,0.0258076489787251,,,101430008954.55,566666307.0,178.9942470579074,91.30675526024352,93.48567277110249,6,10,0.0,0.0,186.15,183.59,178.83,169.7,171.45,180.18577752212224,180.17374246667183,0.012035055450411392,1,193.41142857142856,176.16857142857143,0.0839017624265671,34.788732388601694,26.71085335100059,43.5853814086207,126.22370812777896,1612253.7498960784,0.2497065288380217,1.2053514852006018,0.04036707577975451,,,3.0148779036179967,0,1,0,0,0,0
35716019.0,181.7598,184.14,179.51,184.23,179.245,1699156800000,302338,2023-11-05,,,,,0,0,0,0,49.231117141564894,-0.0427646085414039,-0.7308762639167826,0.6881116553753787,,,184.79,5.5449999999999875,4.434642857142857,-48876562.0,0.0,0.0,-0.0289891285063554,0.0578078962875663,0.0311867091763822,,,107841391525.24,602382326.0,179.0248267098726,62.07087486157241,84.0716131413805,6,11,0.0,0.0,184.79,186.15,183.59,178.83,169.7,180.08181174948805,180.12457635802946,-0.04276460854140396,0,188.37928571428571,170.64071428571427,0.025939626835440897,33.8165418323562,29.805911245903754,36.89279551906265,44.76956289236957,591740.8416218195,0.5451063659841799,0.6531305642731675,-0.0033312975403920753,,,1.85360620848327,0,1,0,0,0,0
30251591.0,182.4134,179.4,183.67,184.32,179.11,1699765200000,265350,2023-11-12,,,,,0,0,0,0,56.62808473465821,0.2466403795965277,-0.5353729352141205,0.7820133148106483,,,179.51,5.2099999999999795,4.613928571428572,-18624971.0,0.0,0.0,0.0229097524574649,0.0270648101548955,0.0232282439860132,,,113397701244.21,632633917.0,179.2469518263435,85.1052048726466,79.49427833148751,6,11,0.0,0.0,179.51,184.79,186.15,183.59,178.83,180.63384071110528,180.38720033150875,0.24664037959652774,1,192.89785714285713,174.44214285714284,0.060586037338916314,32.50251566955609,26.085610337319263,30.532264785698317,71.20766777901075,1292797.153582158,0.13102464441152842,0.0355362409371871,0.03139038634321634,,,1.1651676519118683,0,1,0,0,0,0
19499110.0,184.6881,182.32,185.52,186.115,182.225,1700370000000,178359,2023-11-19,,,,,0,0,0,0,61.22988759091909,0.6181498104214427,-0.3046683860870079,0.9228181965084504,,,183.67,3.890000000000015,4.701071428571431,874139.0,1.0,0.0,0.0100220238068326,0.0105125551500626,0.0205507010055515,,,117015176131.41,652133027.0,179.4345191650752,95.34883720930232,80.84163898117377,6,11,0.0,0.0,183.67,179.51,184.79,186.15,183.59,181.3855575247814,180.76740771435996,0.6181498104214427,1,194.92214285714286,176.11785714285716,0.07952805118336334,34.62736457728067,21.71237559496877,25.026793990687537,111.35414673270044,1489200.2324736496,0.015133689158507511,-0.027001876620418943,0.040260177189637814,,,0.5115421625666757,0,1,0,0,0,0
