volume_1d,vw,open_1d,close_1d,high_1d,low_1d,t,transactions_1d,timestamp,sma20_1d,sma50_1d,sma100_1d,sma200_1d,close_over_sma20_1d,close_over_sma50_1d,close_over_sma100_1d,close_over_sma200_1d,rsi14_1d,macd_1d,macd_signal_1d,macd_hist_1d,bb_upper_1d,bb_lower_1d,prev_close_1d,tr_1d,atr14_1d,obv_1d,news_count,avg_sentiment,log_return_1d,ret_5_1d,vol_5_1d,avg_vol_20_1d,vol_ratio_1d,cum_vol_price_1d,cum_vol_1d,vwap_1d,stoch_k_1d,stoch_d_1d,dow_1d,month_1d,avg_sentiment_lag1_1d,sentiment_5d_ma_1d,close_lag1_1d,close_lag2_1d,close_lag3_1d,close_lag4_1d,close_lag5_1d,ema12_1d,ema26_1d,ema_diff_1d,ema_cross_1d,upper_atr_band_1d,lower_atr_band_1d,cmf20_1d,plus_di14_1d,minus_di14_1d,adx14_1d,cci20_1d,vpt_1d,roll_skew_10_1d,roll_kurt_10_1d,ret_10_1d,ret_20_1d,ret_50_1d,mom_vol_ratio_1d,vol_spike_1d,is_day_end_1d,is_week_end_1d,is_month_end_1d,is_quarter_end_1d,is_year_end_1d
4152919.0,181.3254,180.99,181.56,181.6307,180.64,1689566400000,31564,2023-07-17,,,,,0,0,0,0,,0.0,0.0,0.0,,,,0.990700000000004,,0.0,2.0,-0.075,,,,,,754003973.64,4152919.0,181.56,,,0,7,,,,,,,,181.56,181.56,0.0,0,,,0.8572726355102681,0.0,0.0,0.0,0.0,0.0,,,,,,,0,1,0,0,0,0
8242597.0,183.4917,182.79,183.64,184.23,182.32,1689652800000,70296,2023-07-18,,,,,0,0,0,0,,0.1659259259259329,0.0331851851851865,0.1327407407407463,,,181.56,2.6699999999999875,,8242597.0,1.0,0.16,0.0113911417927562,,,,,2267674486.72,12395516.0,182.94312933160668,,,1,7,-0.075,,181.56,,,,,181.88,181.71407407407406,0.16592592592593292,1,,,0.5413647772790587,71.00554519352723,0.0,49.9999999929583,66.66666603766753,94429.39942718523,,,,,,,0,1,0,0,0,0
3847365.0,183.5,183.45,183.67,183.835,182.87,1689739200000,37709,2023-07-19,,,,,0,0,0,0,,0.2964271393900901,0.0858335760261673,0.2105935633639228,,,183.64,0.9650000000000034,,12089962.0,1.0,0.0,0.0001633497594223,,,,,2974320016.2699995,16242881.0,183.1152993283642,,,2,7,0.16,,183.64,181.56,,,,182.1553846153846,181.85895747599452,0.29642713939009013,1,,,0.5689989070166138,56.19257613724938,0.0,66.66666665604022,52.15056208807471,95057.91690703738,,,,,,,0,1,0,0,0,0
4972856.0,182.9377,183.73,182.74,183.77,182.47,1689825600000,39338,2023-07-20,,,,,0,0,0,0,,0.321105558606888,0.1328879725423114,0.1882175860645766,,,183.67,1.3000000000000114,,7117106.0,2.0,0.0666666666666666,-0.0050762915699689,,,,,3883059721.71,21215737.0,183.02733116035515,,,3,7,0.0,,183.67,183.64,181.56,,,182.24532544378698,181.9242198851801,0.32110555860688805,1,,,0.29859784803724054,43.86485977375687,6.7502573421702,68.33177740313837,18.791440460539288,69878.21374375606,1.0075372339695263,,,,,,0,1,0,0,0,0
3845361.0,182.1428,182.06,182.18,182.46,181.68,1689912000000,31811,2023-07-21,,,,,0,0,0,0,,0.2921088151601339,0.1647321410658759,0.1273766740942579,,,182.74,1.0600000000000025,,3271745.0,0.0,0.0,-0.0030691682538107,,,,,4583607588.69,25061098.0,182.89731713630425,,,4,7,0.0666666666666666,0.0303333333333333,182.74,183.67,183.64,181.56,,182.23527537551206,181.94316656035193,0.2921088151601339,1,,,0.29605895211471,37.2088694945261,17.034799637781703,62.10373506604748,-47.11530229748331,58094.24657729006,1.5136481117972964,2.271143884743884,,,,,0,1,1,0,0,0
4370026.0,181.7945,182.22,181.4,182.54,181.34,1690171200000,38720,2023-07-24,,,,,0,0,0,0,,0.2038394712612898,0.1725536071049587,0.0312858641563311,,,182.18,1.1999999999999886,,-1098281.0,2.0,0.125,-0.0042906716356276,-0.0008812513769552,0.0067680818859499,,,5376330305.089999,29431124.0,182.6749907713344,,,0,7,0.0,0.0703333333333333,182.18,182.74,183.67,183.64,181.56,182.10677147158714,181.90293200032585,0.20383947126128987,1,,,0.11846435130116258,31.754156600224594,18.691132073382708,56.069017590550125,-62.800138065364706,39384.06829207743,1.7960081385337878,3.2218371964119874,,,,-0.13020676902815373,0,1,0,0,0,0
4090149.0,182.1618,181.72,182.41,182.47,181.1,1690257600000,32946,2023-07-25,,,,,0,0,0,0,,0.2129294215255583,0.1806287699890786,0.0323006515364797,,,181.4,1.3700000000000043,,2991868.0,2.0,0.0,0.0055523630177869,-0.0066978871705509,0.0043422633997346,,,6122414384.179999,33521273.0,182.6426575201962,,,1,7,0.125,0.0383333333333333,181.4,182.18,182.74,183.67,183.64,182.15342201441987,181.94049259289432,0.21292942152555838,1,,,0.2153386831832637,27.201565529263604,18.522975796097743,50.77060893481485,-39.34036303701916,62157.22424577069,1.005398242095998,-0.22780410736986312,,,,-1.5424839833807504,0,1,0,0,0,0
6158432.0,182.9677,182.66,183.3,183.64,182.31,1690344000000,47004,2023-07-26,,,,,0,0,0,0,,0.2886217823135268,0.2022273724539683,0.0863944098595585,,,182.41,1.329999999999984,,9150300.0,4.0,-0.275,0.0048672541468361,-0.0020144824957804,0.0051793828056363,,,7251254969.78,39679705.0,182.74467942188585,,,2,7,0.0,-0.0166666666666666,182.41,181.4,182.18,182.74,183.67,182.32981862758604,182.0411968452725,0.28862178231352686,1,,,0.25776872046923954,34.62616089491145,16.259863843152264,48.93590883480421,52.89945452529908,92204.9435594048,0.5986534827728389,-0.8492132066233615,,,,-0.38894182607432426,0,1,0,0,0,0
7592752.0,180.7189,181.64,180.42,181.64,180.32,1690430400000,67059,2023-07-27,,,,,0,0,0,0,,0.1148921871210291,0.1847603353873805,-0.0698681482663513,,,183.3,2.980000000000018,,1557548.0,1.0,0.0,-0.0158366886171667,-0.0126956331399804,0.0086674588048499,,,8621139285.619999,47272457.0,182.3712967917026,,,3,7,-0.275,-0.03,183.3,182.41,181.4,182.18,182.74,182.03600037718817,181.92110819006714,0.11489218712102911,1,,,0.08008578348580014,27.184346966121804,27.117274982786952,43.51230979298586,-124.98163028600833,-27091.978208190194,-0.4308561055263167,0.5882942025115568,,,,-1.4647451783012513,0,1,0,0,0,0
3829197.0,181.8748,181.48,181.86,182.27,181.25,1690516800000,33617,2023-07-28,,,,,0,0,0,0,,0.0923417386127312,0.1662766160324506,-0.0739348774197194,,,180.42,1.8500000000000227,,5386745.0,1.0,0.03125,0.0079496940692741,-0.0017565045559336,0.0098273719271423,,,9317517052.04,51101654.0,182.3329838216195,,,4,7,0.0,-0.02375,180.42,183.3,182.41,181.4,182.18,182.0089233960823,181.91658165746958,0.0923417386127312,1,,,0.08877745321746973,27.993026064385937,23.925119451297114,39.9446019098804,-40.67545723375959,3470.2858423586913,-0.6308090331478992,0.37958165090387025,,,,-0.1787357577995723,0,1,1,0,0,0
