volume_1h,vw,open_1h,close_1h,high_1h,low_1h,t,transactions_1h,timestamp,sma20_1h,sma50_1h,sma100_1h,sma200_1h,close_over_sma20_1h,close_over_sma50_1h,close_over_sma100_1h,close_over_sma200_1h,rsi14_1h,macd_1h,macd_signal_1h,macd_hist_1h,bb_upper_1h,bb_lower_1h,prev_close_1h,tr_1h,atr14_1h,obv_1h,news_count,avg_sentiment,cash_amount,log_return_1h,ret_5_1h,vol_5_1h,avg_vol_20_1h,vol_ratio_1h,cum_vol_price_1h,cum_vol_1h,vwap_1h,stoch_k_1h,stoch_d_1h,dow_1h,month_1h,avg_sentiment_lag1_1h,sentiment_5d_ma_1h,close_lag1_1h,close_lag2_1h,close_lag3_1h,close_lag4_1h,close_lag5_1h,ema12_1h,ema26_1h,ema_diff_1h,ema_cross_1h,upper_atr_band_1h,lower_atr_band_1h,cmf20_1h,plus_di14_1h,minus_di14_1h,adx14_1h,cci20_1h,vpt_1h,roll_skew_10_1h,roll_kurt_10_1h,ret_10_1h,ret_20_1h,ret_50_1h,mom_vol_ratio_1h,vol_spike_1h,is_day_end_1h,is_week_end_1h,is_month_end_1h,is_quarter_end_1h,is_year_end_1h
33748.0,442.8531,442.93,442.7,443.31,442.69,1688544000000,281,2023-07-05 04:00:00,,,,,0,0,0,0,,0.0,0.0,0.0,,,,0.6200000000000045,,0.0,0.0,0.0,,,,,,,14940239.6,33748.0,442.7,,,2,7,,,,,,,,442.7,442.7,0.0,0,,,-0.9677419354836139,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0
42613.0,442.1274,442.75,441.91,442.75,441.59,1688547600000,526,2023-07-05 05:00:00,,,,,0,0,0,0,,-0.0630199430199809,-0.0126039886039961,-0.0504159544159847,,,442.7,1.160000000000025,,-42613.0,0.0,0.0,,-0.0017860983032476,,,,,33771350.43,76361.0,442.25914314898966,,,2,7,0.0,,442.7,,,,,442.5784615384615,442.6414814814815,-0.06301994301998093,0,,,-0.6778556350629976,0.0,61.79775246181063,49.99999999190909,-66.66666503401365,-76.04307657555434,,,,,,,0,0,0,0,0,0
27510.0,442.1418,441.94,442.19,442.31,441.86,1688551200000,218,2023-07-05 06:00:00,,,,,0,0,0,0,,-0.0893401839271064,-0.0279512276686182,-0.0613889562584881,,,441.91,0.4499999999999886,,-15103.0,0.0,0.0,,0.0006334125310746,,,,,45935997.33,103871.0,442.240830741978,,,2,7,0.0,,441.91,442.7,,,,442.5186982248521,442.6080384087792,-0.08934018392710641,0,,,-0.374731485679829,0.0,49.32735403889141,66.66666665451515,-46.55532227870473,-58.61237801702774,,,,,,,0,0,0,0,0,0
151442.0,441.935,442.21,441.69,442.22,441.69,1688554800000,1077,2023-07-05 07:00:00,,,,,0,0,0,0,,-0.1488293734249737,-0.0521268568198893,-0.0967025166050843,,,442.19,0.5300000000000296,,-166545.0,0.0,0.0,,-0.0011313754204954,,,,,112826414.31,255313.0,441.9140988120464,,,2,7,0.0,,442.19,441.91,442.7,,,442.3912061902594,442.5400355636844,-0.1488293734249737,0,,,-0.7456170823618296,0.0,46.014492586904616,74.99999998545329,-76.21461534116598,-229.85324732659248,1.2141935459105875,,,,,,0,0,0,0,0,0
406330.0,441.7909,442.19,441.63,443.79,441.44,1688558400000,2726,2023-07-05 08:00:00,,,,,0,0,0,0,,-0.1985279763258631,-0.0814070807210841,-0.117120895604779,,,441.69,2.3500000000000227,,-572875.0,0.0,0.0,,-0.0001358511073955,,,,,292273932.21000004,661643.0,441.7396272763409,,,2,7,0.0,0.0,441.69,442.19,441.91,442.7,,442.27409754560415,442.47262552193,-0.19852797632586316,0,,,-0.8025344613592704,30.724070389971907,24.853228914181962,62.11267604432019,8.609486364996373,-285.04987844798677,0.11411275005107717,-2.1932213089568773,,,,,0,0,0,0,0,0
5591714.0,442.706,441.62,443.22,443.32,441.55,1688562000000,58690,2023-07-05 09:00:00,,,,,0,0,0,0,,-0.1083655942530299,-0.0867987834274732,-0.0215668108255566,,,441.63,1.7699999999999818,,5018839.0,0.0,0.0,,0.0035938333306701,0.0011746103456065,0.0020934328470411,,,2770633411.29,6253357.0,443.0633676103891,,,2,7,0.0,0.0,441.63,441.69,442.19,441.91,442.7,442.4196210001266,442.5279865943796,-0.10836559425302994,0,,,0.7082420851692268,22.819767408691927,18.459302298751435,53.52112675012172,78.49588470107051,19846.79184426174,1.2312485384754637,1.6009996000665296,,,,0.5610902381532459,0,0,0,0,0,0
7831332.0,443.4698,443.23,443.79,443.83,442.93,1688565600000,75020,2023-07-05 10:00:00,,,,,0,0,0,0,,0.0089794696986018,-0.0676431328022582,0.0766226025008601,,,443.22,0.8999999999999773,,12850171.0,0.0,0.0,,0.0012852168035526,0.0042542599171777,0.0017792337935404,,,6246100239.57,14084689.0,443.4673878542863,,,2,7,0.0,0.0,443.22,441.63,441.69,442.19,441.91,442.63044853856866,442.62146906887006,0.00897946969860186,1,,,0.8210407912441798,26.73521847463309,16.3239074340314,49.32940928181788,146.49096805258114,29918.221924131125,0.7850259281326327,0.554440799643146,,,,2.3910494630488093,0,0,0,0,0,0
6668981.0,443.697,443.795,443.29,443.889,443.16,1688569200000,53213,2023-07-05 11:00:00,,,,,0,0,0,0,,0.0609281155901157,-0.0419288831237834,0.1028569987138992,,,443.79,0.728999999999985,,6181190.0,0.0,0.0,,-0.0011272941627579,0.0024876184445601,0.0019938719194347,,,9202392827.06,20753670.0,443.41038606954817,,,2,7,0.0,0.0,443.79,443.22,441.63,441.69,442.19,442.7319179941735,442.6709898785834,0.060928115590115794,1,,,0.3504746362017247,25.138089052605444,14.925373116788096,46.34965142528327,105.5489445106565,22404.5544237367,1.054102150690214,0.8920052066674593,,,,1.2476257597367566,0,0,0,0,0,0
9505010.0,443.3768,443.295,443.17,443.3701,442.73,1688572800000,51003,2023-07-05 12:00:00,,,,,0,0,0,0,,0.0913616345582113,-0.0152707795873844,0.1066324141455958,,,443.29,0.6400999999999613,,-3323820.0,0.0,0.0,,-0.0002707397981476,0.0033507663746066,0.00185013121617,,,13414728108.76,30258680.0,443.3348747784107,,,2,7,0.0,0.0,443.29,443.79,443.22,441.63,441.69,442.7993152258391,442.7079535912809,0.09136163455821134,1,,,0.3581111905785781,23.379348762851873,18.581062597872396,42.47027566677761,54.82365570135226,19831.518262307458,1.2002826022623274,1.5546967334253983,,,,1.8110868215470939,0,0,0,0,0,0
4353317.0,443.4392,443.16,443.2801,443.39,442.99,1688576400000,34365,2023-07-05 13:00:00,,,,,0,0,0,0,,0.1229473074299676,0.0123728378160859,0.1105744696138816,,,443.17,0.3999999999999772,,1029497.0,0.0,0.0,,0.0002484065387688,0.0037363856622059,0.0018160051943673,,,15344466903.8517,34611997.0,443.32798549161146,,,2,7,0.0,0.0,443.17,443.29,443.79,443.22,441.63,442.87328211417156,442.7503348067416,0.12294730742996762,1,,,0.3697313746050674,22.608413334651285,17.80272484548053,39.41244709433761,64.76812901948819,20913.044994035798,1.2054542266368597,1.942284839305571,,,,2.0574638768414366,0,0,0,0,0,0
