volume_1d,vw,open_1d,close_1d,high_1d,low_1d,t,transactions_1d,timestamp,sma20_1d,sma50_1d,sma100_1d,sma200_1d,close_over_sma20_1d,close_over_sma50_1d,close_over_sma100_1d,close_over_sma200_1d,rsi14_1d,macd_1d,macd_signal_1d,macd_hist_1d,bb_upper_1d,bb_lower_1d,prev_close_1d,tr_1d,atr14_1d,obv_1d,news_count,avg_sentiment,cash_amount,log_return_1d,ret_5_1d,vol_5_1d,avg_vol_20_1d,vol_ratio_1d,cum_vol_price_1d,cum_vol_1d,vwap_1d,stoch_k_1d,stoch_d_1d,dow_1d,month_1d,avg_sentiment_lag1_1d,sentiment_5d_ma_1d,close_lag1_1d,close_lag2_1d,close_lag3_1d,close_lag4_1d,close_lag5_1d,ema12_1d,ema26_1d,ema_diff_1d,ema_cross_1d,upper_atr_band_1d,lower_atr_band_1d,cmf20_1d,plus_di14_1d,minus_di14_1d,adx14_1d,cci20_1d,vpt_1d,roll_skew_10_1d,roll_kurt_10_1d,ret_10_1d,ret_20_1d,ret_50_1d,mom_vol_ratio_1d,vol_spike_1d,is_day_end_1d,is_week_end_1d,is_month_end_1d,is_quarter_end_1d,is_year_end_1d
58418432.0,443.3129,441.91,443.13,443.889,441.9,1688529600000,415750,2023-07-05,,,,,0,0,0,0,,0.0,0.0,0.0,,,,1.9890000000000327,,0.0,0.0,0.0,,,,,,,25886959772.16,58418432.0,443.13,,,2,7,,,,,,,,443.13,443.13,0.0,0,,,0.23680241327299942,0.0,0.0,0.0,0.0,0.0,,,,,,,0,1,0,0,0,0
80658302.0,439.1438,439.42,439.66,440.1,437.06,1688616000000,567512,2023-07-06,,,,,0,0,0,0,,-0.2768091168091473,-0.0553618233618294,-0.2214472934473178,,,443.13,6.069999999999993,,-80658302.0,0.0,0.0,,-0.007861479788647,,,,,61349188829.48,139076734.0,441.117554784397,,,3,7,0.0,,443.13,,,,,442.5961538461538,442.87296296296296,-0.2768091168091473,0,,,0.5115411455888779,0.0,60.05707896754251,49.999999991674585,-66.66666633606084,-631607.6725565803,,,,,,,0,1,0,0,0,0
85434178.0,439.9317,438.63,438.55,442.64,438.3,1688702400000,530026,2023-07-07,,,,,0,0,0,0,,-0.5790748451717036,-0.1601044277238043,-0.4189704174478993,,,439.66,4.339999999999975,,-166092480.0,0.0,0.0,,-0.0025278705345803,,,,,98816347591.38,224510912.0,440.1405112611186,,,4,7,0.0,,439.66,443.13,,,,441.97366863905324,442.55274348422495,-0.5790748451717036,0,,,-0.01981221709997456,20.485523009528276,39.035406049652664,43.72177054374336,-31.396320873350646,-847301.4759046243,,,,,,,0,1,1,0,0,0
62443501.0,438.8872,438.18,439.66,439.84,437.585,1688961600000,419235,2023-07-10,,,,,0,0,0,0,,-0.7207465714367345,-0.2722328564663903,-0.4485137149703441,,,438.55,2.2549999999999955,,-103648979.0,0.0,0.0,,0.0025278705345804,,,,,126270257241.04,286954413.0,440.0359482920376,,,0,7,0.0,,438.55,439.66,443.13,,,441.61771961766044,442.3384661890972,-0.7207465714367345,0,,,0.1673667754855422,17.333151346162474,37.907738475564585,42.1026311797478,-55.847970343399126,-689252.7104046787,-0.0802013830517598,,,,,,0,1,0,0,0,0
64463752.0,441.2254,440.45,442.46,442.97,439.44,1689048000000,455993,2023-07-11,,,,,0,0,0,0,,-0.600167478665071,-0.3378197809061264,-0.2623476977589445,,,439.66,3.5300000000000296,,-39185227.0,0.0,0.0,,0.0063483639498694,,,,,154792888950.96002,351418165.0,440.48061360447895,,,1,7,0.0,0.0,439.66,438.55,439.66,443.13,,441.74730121494343,442.3474686936085,-0.600167478665071,0,,,0.2670990754669589,31.181258231862525,30.54883412310336,33.887004721047916,52.42134929259966,-278711.597726711,-0.2836296572227097,-1.3877109353455968,,,,,0,1,0,0,0,0
91895927.0,445.6589,446.39,446.02,447.4799,444.91,1689134400000,585099,2023-07-12,,,,,0,0,0,0,,-0.2148685600699877,-0.3132295367388987,0.0983609766689109,,,442.46,5.019900000000007,,52710700.0,0.0,0.0,,0.0080137291821313,0.0065217881885677,0.0065317131907159,,,195780310311.50003,443314092.0,441.62888986506664,,,2,7,0.0,0.0,442.46,439.66,438.55,439.66,443.13,442.4046394895675,442.6195080496375,-0.21486856006998778,0,,,0.18350769307829123,43.87150434027387,23.939941120268596,33.13794127341006,145.80235424159866,460676.14380924,-0.586083734353721,-1.1715446443926634,,,,0.9984789615453512,0,1,0,0,0,0
71975241.0,448.5919,447.9,449.56,450.38,447.45,1689220800000,449367,2023-07-13,,,,,0,0,0,0,,0.3718456190010215,-0.1762145055909147,0.5480601245919362,,,446.02,4.360000000000014,,124685941.0,0.0,0.0,,0.0079055325860945,0.0225173998089431,0.0044897063815273,,,228137499655.46,515289333.0,442.7367015871451,,,3,7,0.0,0.0,446.02,442.46,439.66,438.55,439.66,443.50546418348017,443.13361856447915,0.37184561900102153,1,,,0.21937249051292304,47.45337196570378,20.15317135087807,34.1726644460782,144.4752017524516,1031933.8298771386,-0.895790672023402,-0.6001032640745491,,,,5.015327895006854,0,1,0,0,0,0
69695823.0,449.8199,450.475,449.28,451.36,448.49,1689307200000,484538,2023-07-14,,,,,0,0,0,0,,0.8049482308771871,0.0200180417027056,0.7849301891744814,,,449.56,2.8700000000000045,,54990118.0,0.0,0.0,,-0.0006230252526748,0.024466993501311,0.0037727856011918,,,259450439012.9,584985156.0,443.51627789492153,,,4,7,0.0,0.0,449.56,446.02,442.46,439.66,438.55,444.39385430909863,443.58890607822144,0.8049482308771871,1,,,0.1396849296348276,46.19848259795862,18.252672178638722,35.32104060436404,113.98256824411664,988525.0959150369,-0.5924960112613413,-0.7640496884163526,,,,6.485109740263174,0,1,1,0,0,0
52680221.0,450.4644,449.13,450.84,451.93,449.08,1689566400000,385755,2023-07-17,,,,,0,0,0,0,,1.259544884274419,0.2679234102170483,0.9916214740573708,,,449.28,2.8500000000000227,,107670339.0,0.0,0.0,,0.0034662079764863,0.0254287403903015,0.0036507274547289,,,283200789848.54004,637665377.0,444.1213214066977,,,0,7,0.0,0.0,449.28,449.56,446.02,442.46,439.66,445.38556903077574,444.1260241465013,1.259544884274419,1,,,0.14756655568002608,43.9551855269498,16.68975089557119,36.391939210321546,102.55259906030112,1171442.5299428198,-0.732101545497098,-0.18478465952367554,,,,6.9653708889317585,0,1,0,0,0,0
80744448.0,453.2069,450.5,454.19,454.86,450.0484,1689652800000,519350,2023-07-18,,,,,0,0,0,0,,1.8685930328417728,0.5880573347419933,1.2805356980997793,,,450.84,4.8115999999999985,,188414787.0,0.0,0.0,,0.0074031033224915,0.0265108710391899,0.003774878123618,,,319874110685.66003,718409825.0,445.2529733786144,,,1,7,0.0,0.0,450.84,449.28,449.56,446.02,442.46,446.74009687219484,444.87150383935307,1.8685930328417726,1,,,0.21207354186335164,46.09468308695384,14.581774746470892,37.94634251966856,114.36264238947035,1771420.1290910775,-0.9138778930688932,0.038278184080223945,,,,7.022955428353423,0,1,0,0,0,0
65639688.0,455.3494,455.01,455.2,456.43,454.1119,1689739200000,502903,2023-07-19,,,,,0,0,0,0,,2.4050428012880616,0.9514544280512072,1.4535883732368546,,,454.19,2.3181000000000154,,254054475.0,0.0,0.0,,0.0022212701157517,0.0205820366799696,0.0035926186262305,,,349753296663.26,784049513.0,446.08572655699106,,,2,7,0.0,0.0,454.19,450.84,449.28,449.56,446.02,448.0416204303187,445.6365776290306,2.4050428012880616,1,,,0.18919424180035174,47.335550397060395,13.745372841383736,39.496030532925545,121.96483315825157,1917385.6608729302,-0.9036241055351473,0.34703778740174585,0.027238056552253198,,,5.7289630577722495,0,1,0,0,0,0
70575142.0,453.3022,454.17,452.18,455.1,451.44,1689825600000,532939,2023-07-20,,,,,0,0,0,0,,2.557018627833884,1.2725672680077424,1.2844513598261411,,,455.2,3.759999999999991,,183479333.0,0.0,0.0,,-0.0066565521639509,0.0058279206335083,0.0052368614443803,,,381665964372.82,854624655.0,446.5889933550068,,,3,7,0.0,0.0,455.2,454.19,450.84,449.28,449.56,448.67829421026966,446.12127558243577,2.557018627833884,1,,,0.12438336822484854,43.30640924821459,18.62401977230197,39.52594694078412,81.25655161353946,1449158.6642999973,-0.7311685134094307,-0.2304327295313848,0.028476550061411032,,,1.1128630319467279,0,1,0,0,0,0
70940618.0,452.9345,453.96,452.18,454.165,452.17,1689912000000,475415,2023-07-21,,,,,0,0,0,0,,2.646948194183665,1.5474434532429269,1.099504740940738,,,452.18,1.9950000000000043,,183479333.0,0.0,0.0,,0.0,0.006454772079772,0.0051909757680589,,,413743893020.06,925565273.0,447.0175200923512,,,4,7,0.0,0.0,452.18,455.2,454.19,450.84,449.28,449.21701817792047,446.5700699837368,2.646948194183665,1,,,0.038972572058944756,41.43508790792108,17.81925377468249,39.5512608243344,73.55480161358766,1449158.6642999973,-0.8791387193768622,0.6275994246680229,0.031079694447611494,,,1.24345786487981,0,1,1,0,0,0
54023382.0,453.9231,453.37,454.2,455.04,452.298,1690171200000,400894,2023-07-24,,,,,0,0,0,0,,2.8483807809911923,1.80763091879258,1.0407498621986122,,,452.18,2.8600000000000136,3.502042857142864,237502715.0,0.0,0.0,,0.0044572990232878,0.0074527548575991,0.0053125017350188,,,438281313124.46,979588655.0,447.41362702333464,88.4873515745998,,0,7,0.0,0.0,452.18,452.18,455.2,454.19,450.84,449.9836307659327,447.1352499849415,2.8483807809911923,1,461.2040857142857,447.19591428571425,0.05818296882674518,40.80271514161058,16.779797910448195,39.706107847253584,79.61672617135402,1690494.4855216297,-1.0211811442973504,0.8087727151781091,0.03307100941636709,,,1.4028684037481427,0,1,0,0,0,0
